4351655,总办
4351729,总办
4351645,总办
4351723,总办
4351646,总办
4351696,总办
4353708,即时通信产品部
4354494,即时通信产品部
4354420,即时通信产品部
4354260,即时通信产品部
4353220,即时通信产品部
4354611,即时通信产品部
4354266,即时通信产品部
4354325,即时通信产品部
4353424,即时通信产品部
4353904,即通产品部
4354148,即通产品部
4352781,即通产品部
4354495,即通产品部
4354528,即通产品部
4354138,即通产品部
4353215,即通产品部
4353081,无线产品部
4354078,无线产品部
4353204,无线产品部
4353055,无线产品部
4353551,业务系统
4353670,互联网事业部
4353751,广告销售部
4352660,广告销售部
4353182,移动通信部
4353608,移动通信部
4352649,移动通信部
4353690,移动通信部
4353149,移动通信部
4352905,移动通信部
4354457,国际业务部
4353776,网站部
4354411,网站部
4353761,网站部
4353699,网站部
4352949,网站部
4353180,网站部
4352523,客户服务部
4353861,客户服务部
4353725,客户服务部
4354177,客户服务部
4353225,客户服务部
4353172,客户服务部
4352608,客户服务部
4354086,客户服务部
4353655,客户服务部
4354551,客户服务部
4353783,客户服务部
4352657,客户服务部
4353872,行政部
4352773,行政部
4353954,行政部
4352527,行政部
4354412,行政部
4352450,行政部
4353199,行政部
4353657,行政部
4351782,北京办事处
4351801,上海办事处
4354003,人力资源部
4353205,人力资源部
4354320,人力资源部
4354005,人力资源部
4353634,人力资源部
4353147,人力资源部
4354454,人力资源部
4353419,人力资源部
4353133,人力资源部
4352633,人力资源部
4353237,人力资源部
4354034,电信事业部
4354042,电信事业部
4354595,电信事业部
4353051,电信事业部
4354277,电信事业部
4353897,电子商务部
4354520,电子商务部
4354062,电子商务部
4353566,电子商务部
4353526,电子商务部
4353668,电子商务部
4352824,电子商务部
4353955,电子商务部
4353198,公关部
4353662,管理工程部
4353297,管理工程部
4354121,网络平台部
4353502,网络平台部
4354196,网络平台部
4352673,网络平台部
4353490,网络平台部
4354246,网络平台部
4353572,董事会办公室
4352607,董事会办公室
4352930,董事会办公室
4354436,董事会办公室
4352674,董事会办公室
4352963,董事会办公室
4353605,董事会办公室
4352495,董事会办公室
4352625,投资者关系部
4352445,投资者关系部
4353387,投资者关系与国际传讯部
4354524,投资者关系与国际传讯部
4353887,投资者关系与国际传讯部
4354339,投资者关系与国际传讯部
4354029,投资者关系与国际传讯部
4352794,战略发展部
4353393,战略发展部
4354357,战略发展部
4352981,战略发展部
4354104,战略发展部
4352967,战略发展部
4354369,战略发展部
4353579,测试部门
4353906,专利小组
4352601,综合规划
4353979,综合规划
4354463,企划
4353934,市场组
4353397,技术
4353392,技术支持
4353978,技术中心
4354318,新闻中心
4354395,深圳研发中心
4353604,深圳研发中心
4353981,深圳研发中心
4354308,深圳研发中心
4353507,S职能系统
4351744,S1职能系统－职能线
4351747,S1职能系统－职能线
4351689,S1职能系统－职能线
4351715,S1职能系统－职能线
4351749,S1职能系统－职能线
4351660,S1职能系统－职能线
4351722,S1职能系统－职能线
4354245,IDC
4353745,渠道组
